Time (s),Thrust (N)
0,0
0.01,6.921
0.02,13.842
0.03,20.763
0.04,27.684
0.05,34.605
0.06,41.526
0.07,48.447
0.08,55.368
0.09,62.289
0.1,69.21
0.11,76.131
0.12,83.052
0.13,89.973
0.14,96.894
0.15,103.815
0.16,110.736
0.17,117.657
0.18,124.578
0.19,131.499
0.2,138.42
0.21,137.321
0.22,136.223
0.23,135.124
0.24,134.026
0.25,132.927
0.26,131.829
0.27,130.73
0.28,129.632
0.29,128.533
0.3,127.435
0.31,126.336
0.32,125.238
0.33,124.139
0.34,123.041
0.35,121.942
0.36,120.844
0.37,119.745
0.38,118.647
0.39,117.548
0.4,116.45
0.41,116.45
0.42,116.45
0.43,116.45
0.44,116.45
0.45,116.45
0.46,116.45
0.47,116.45
0.48,116.45
0.49,116.45
0.5,116.45
0.51,116.45
0.52,116.45
0.53,116.45
0.54,116.45
0.55,116.45
0.56,116.45
0.57,116.45
0.58,116.45
0.59,116.45
0.6,116.45
0.61,116.45
0.62,116.45
0.63,116.45
0.64,116.45
0.65,116.45
0.66,116.45
0.67,116.45
0.68,116.45
0.69,116.45
0.7,116.45
0.71,116.45
0.72,116.45
0.73,116.45
0.74,116.45
0.75,116.45
0.76,116.45
0.77,116.45
0.78,116.45
0.79,116.45
0.8,116.45
0.81,115.921
0.82,115.391
0.83,114.862
0.84,114.333
0.85,113.803
0.86,113.274
0.87,112.745
0.88,112.215
0.89,111.686
0.9,111.157
0.91,110.627
0.92,110.098
0.93,109.569
0.94,109.04
0.95,108.51
0.96,107.981
0.97,107.452
0.98,106.922
0.99,106.393
1,105.864
1.01,105.334
1.02,104.805
1.03,104.276
1.04,103.746
1.05,103.217
1.06,102.688
1.07,102.158
1.08,101.629
1.09,101.1
1.1,100.57
1.11,100.041
1.12,99.5118
1.13,98.9825
1.14,98.4532
1.15,97.9239
1.16,97.3945
1.17,96.8652
1.18,96.3359
1.19,95.8066
1.2,95.2773
1.21,94.748
1.22,94.2186
1.23,93.6893
1.24,93.16
1.25,92.6307
1.26,92.1014
1.27,91.572
1.28,91.0427
1.29,90.5134
1.3,89.9841
1.31,89.4548
1.32,88.9255
1.33,88.3961
1.34,87.8668
1.35,87.3375
1.36,86.8082
1.37,86.2789
1.38,85.7495
1.39,85.2202
1.4,84.6909
1.41,84.1616
1.42,83.6323
1.43,83.103
1.44,82.5736
1.45,82.0443
1.46,81.515
1.47,80.9857
1.48,80.4564
1.49,79.927
1.5,79.3977
1.51,78.8684
1.52,78.3391
1.53,77.8098
1.54,77.2805
1.55,76.7511
1.56,76.2218
1.57,75.6925
1.58,75.1632
1.59,74.6339
1.6,74.1045
1.61,73.5752
1.62,73.0459
1.63,72.5166
1.64,71.9873
1.65,71.458
1.66,70.9286
1.67,70.3993
1.68,69.87
1.69,69.3407
1.7,68.8114
1.71,68.282
1.72,67.7527
1.73,67.2234
1.74,66.6941
1.75,66.1648
1.76,65.6355
1.77,65.1061
1.78,64.5768
1.79,64.0475
1.8,63.5182
1.81,62.9889
1.82,62.4595
1.83,61.9302
1.84,61.4009
1.85,60.8716
1.86,60.3423
1.87,59.813
1.88,59.2836
1.89,58.7543
1.9,58.225
1.91,57.6957
1.92,57.1664
1.93,56.637
1.94,56.1077
1.95,55.5784
1.96,55.0491
1.97,54.5198
1.98,53.9905
1.99,53.4611
2,52.9318
2.01,52.4025
2.02,51.8732
2.03,51.3439
2.04,50.8145
2.05,50.2852
2.06,49.7559
2.07,49.2266
2.08,48.6973
2.09,48.168
2.1,47.6386
2.11,47.1093
2.12,46.58
2.13,46.0507
2.14,45.5214
2.15,44.992
2.16,44.4627
2.17,43.9334
2.18,43.4041
2.19,42.8748
2.2,42.3455
2.21,41.8161
2.22,41.2868
2.23,40.7575
2.24,40.2282
2.25,39.6989
2.26,39.1695
2.27,38.6402
2.28,38.1109
2.29,37.5816
2.3,37.0523
2.31,36.523
2.32,35.9936
2.33,35.4643
2.34,34.935
2.35,34.4057
2.36,33.8764
2.37,33.347
2.38,32.8177
2.39,32.2884
2.4,31.7591
2.41,31.2298
2.42,30.7005
2.43,30.1711
2.44,29.6418
2.45,29.1125
2.46,28.5832
2.47,28.0539
2.48,27.5245
2.49,26.9952
2.5,26.4659
2.51,25.9366
2.52,25.4073
2.53,24.878
2.54,24.3486
2.55,23.8193
2.56,23.29
2.57,22.7607
2.58,22.2314
2.59,21.702
2.6,21.1727
2.61,20.6434
2.62,20.1141
2.63,19.5848
2.64,19.0555
2.65,18.5261
2.66,17.9968
2.67,17.4675
2.68,16.9382
2.69,16.4089
2.7,15.8795
2.71,15.3502
2.72,14.8209
2.73,14.2916
2.74,13.7623
2.75,13.233
2.76,12.7036
2.77,12.1743
2.78,11.645
2.79,11.1157
2.8,10.5864
2.81,10.057
2.82,9.52773
2.83,8.99841
2.84,8.46909
2.85,7.93977
2.86,7.41045
2.87,6.88114
2.88,6.35182
2.89,5.8225
2.9,5.29318
2.91,4.76386
2.92,4.23455
2.93,3.70523
2.94,3.17591
2.95,2.64659
2.96,2.11727
2.97,1.58795
2.98,1.05864
2.99,0.529318
3,1.0813e-12
